nodes	rows	cols	iter	total_min	total_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	mpi_comm_min	mpi_comm_max	h2d_min	h2d_max	d2h_min	d2h_max	kernel_gpu_min	kernel_gpu_max	overhead
2	1600K	1000	2	7.699229345191	7.800615988206	4.675244913902	4.719667556928	0.000724846032	0.574422053993	2.347786868922	2.373337105848	0.047111497959	0.05457761907	0.617377679097	0.641208590008	0.616801718716	0.6200186559	5.160429038806	5.220544731012	0.078611652367001
4	1600K	1000	2	4.649858506862	4.880857937038	2.26040886296	2.289476985112	0.000572585035	1.075885221828	1.139142270898	1.191352945054	0.071029582061	0.087696699193	0.238173811929	0.265310216928	0.272395303939	0.325179148233	2.570833682083	2.600931034889	0.236446085851
8	1600K	1000	2	4.301116705174	4.305052482057	1.184165811865	1.256522847107	0.000557543011	2.19444871298	0.598743563052	0.653259712039	0.149542342871	0.214097378077	0.129327007104	0.191051690141	0.13546918775	0.16729408619	1.367485869211	1.401096925838	-0.013276168146
16	1600K	1000	2	5.90975253284	6.001636490924	0.598150098929	0.632216662169	0.000530482037	4.580732288072	0.311566385906	0.350794626866	0.285442197928	0.390629581874	0.063318458851	0.09052771586	0.06909589679	0.101434367709	0.692912271014	0.707658284111	0.047263331942999

