nodes	rows	cols	iter	total_min	total_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	mpi_comm_min	mpi_comm_max	h2d_min	h2d_max	d2h_min	d2h_max	kernel_gpu_min	kernel_gpu_max	overhead
2	1600K	100	2	0.374556140974	0.375711664092	0.171653219033	0.171964862151	0.000587140908	0.005420611938	0.140584175941	0.188717688899	0.002576121129	0.002621774795	0.052062061615	0.054822785081	0.062091662083	0.102590258233	0.133112717886	0.134141314076	0.006986726309
4	1600K	100	2	0.215954140062	0.222874645144	0.099026001059	0.10399826616	0.000566225033	0.006675921148	0.070826641982	0.102854122175	0.001014576759	0.001159203937	0.026848314097	0.032450112049	0.027605456999	0.04202110297	0.074753306108	0.081554460107	0.008187131724
8	1600K	100	2	0.129970330978	0.144597343868	0.056319823954	0.060153172817	0.00057850685	0.009856221033	0.037546609994	0.05661802087	0.001651334809	0.00202479586	0.014629628276	0.017081292113	0.014099770226	0.022758784937	0.045480857138	0.047860401915	0.015945133288
16	1600K	100	2	0.085526157869	0.101802709047	0.034534760052	0.038030501921	0.000482985983	0.017538311891	0.014992196113	0.024012736045	0.003426595824	0.004264316987	0.008227197221	0.012209116947	0.002305242	0.00923196529	0.026897439035	0.031284435652	0.017956842203

