NROWS	NCOLS	H2D_BW(GB/sec)	QR_FLOPS(GFlops/sec)	D2H_BW(GB/sec)
1K	1000	4.822052722	41.41163114	8.47641863
10K	1000	4.46472607	103.6098689	2.985509958
100K	1000	4.565834067	100.1953216	2.849760275
