nodes	rows	cols	iter	total_min	total_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	mpi_comm_min	mpi_comm_max	H2D_min	H2D_max	D2H_min	D2H_max	kernel_gpu_min	kernel_gpu_max
1	100K	100	2	0.039579438	0.041083665	0.026692744	0.027154005	8.53091E-07	0.002076669	0.00943073	0.010080004	0.000473246	0.004485394	0.004037645	0.004618804	0.006970808	0.007620168	0.024829856	0.025081835
2	200K	100	2	0.042882498	0.049890566	0.026565621	0.027022005	7.567E-07	0.005446642	0.009554676	0.010857375	0.00077516	0.013725647	0.004080525	0.004620103	0.007104282	0.008396402	0.024768359	0.024955338
4	400K	100	2	0.048413187	0.05905216	0.026534182	0.027307015	8.05128E-07	0.011020666	0.009487954	0.010764271	0.004998603	0.021560935	0.00400258	0.004732354	0.00704172	0.008295581	0.024820229	0.025071996
8	800K	100	2	0.063432002	0.069920215	0.026523376	0.027333574	7.97212E-07	0.024191156	0.00934885	0.010739594	0.00249196	0.032333108	0.004061411	0.00487577	0.006896306	0.008260972	0.024779163	0.025086578
16	1600K	100	2	0.089955683	0.098753653	0.026496737	0.027431196	7.54138E-07	0.05011978	0.00933292	0.010945946	0.010253484	0.061045031	0.003980934	0.004978294	0.006905783	0.008533342	0.024756681	0.02513239
