nodes	rows	cols	iter	total_min	total_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	mpi_comm_min	mpi_comm_max	H2D_min	H2D_max	D2H_min	D2H_max	kernel_gpu_min	kernel_gpu_max	overhead
1	100K	1000	2	1.28872703691	1.28872703691	6.03E-01	0.602586305002	0.355711230077	0.355711230077	0.30015328899	0.30015328899	0.024100241018	0.024100241018	0.069838586031	0.069838586031	0.069887262303	0.069887262303	0.678323100088	0.678323100088	0.006175971823
2	200K	1000	2	1.749481440987	1.760227388004	6.10E-01	0.611215244979	0.000904014101	0.756168867927	0.287377473898	0.323704835959	0.044521048898	0.051313628908	0.067929460667	0.073611815926	0.07604993321	0.102709424915	0.672174188076	0.675972540863	0.017824810231
4	400K	1000	2	2.579421573086	2.626928481972	6.12E-01	0.625203775009	0.000566835981	1.555023927009	0.296686187852	0.318342072191	0.0796069731	0.096438610926	0.069360499969	0.095200286014	0.071029421175	0.081627334002	0.672763018869	0.695901701227	0.031920096837
8	800K	1000	2	4.186334386934	4.201739697019	6.04E-01	0.640396585921	0.00056816102	2.995021539973	0.316902094986	0.333596854005	0.171147877816	0.231533399085	0.063324003015	0.106388461078	0.071884161094	0.106680353172	0.695419027936	0.709024344803	0.001191318035
16	1600K	1000	2	7.444442419102	7.50513755111	6.02E-01	0.634884428	0.00054290914	6.107675225008	0.314909454202	0.34034323087	0.277805218007	0.376334281173	0.065369646065	0.092383294832	0.072389698122	0.088983651716	0.692364651943	0.704861355015	0.045900386058999

