nodes	rows	cols	iter	total_min	total_max	mpi_comm_min	mpi_comm_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	h2d_min	h2d_max	d2h_min	d2h_max	qr_cpu_min	qr_cpu_max	qr_gpu_min	qr_gpu_max	mm_cpu_min	mm_cpu_max	mm_gpu_min	mm_gpu_max
1	100K	100	2	0.176350342	0.176350342	0.000448356	0.000448356	0.076865355	0.076865355	0.045690429	0.045690429	0.048664738	0.048664738	0.029650723	0.029650723	0.017300122	0.017300122	0	0	0.048061454	0.048061454	0	0	0.008490556	0.008490556
2	200K	100	2	0.187874794	0.202249211	0.001293096	0.029491343	0.103909797	0.117986275	0.000603057	0.002687095	0.061420556	0.063651755	0.019332311	0.020365722	0.028951238	0.030335575	0	0	0.04265064	0.044264974	0	0	0.005448172	0.006617495
4	400K	100	2	0.284287585	0.298446844	0.000828554	0.032411368	0.161484316	0.177291116	0.000594004	0.002998556	0.084078579	0.108021184	0.031350453	0.040969045	0.054448881	0.05785274	0	0	0.068409158	0.073242959	0	0	0.008027341	0.01005654
8	800K	100	2	0.275799243	0.303113701	0.005126415	0.056288777	0.150281773	0.170741883	0.000566786	0.003732114	0.085202334	0.102203261	0.033077147	0.053628291	0.051232607	0.06070122	0	0	0.071088103	0.078483662	0	0	0.008925684	0.010190204
16	1600K	100	2	0.298359264	0.315251925	0.007136982	0.067268608	0.149919379	0.18836	0.000528949	0.006050349	0.082154362	0.104608579	0.031252749	0.049257553	0.051081184	0.059604796	0	0	0.067445391	0.082485	0	0	0.007893165	0.015636367
