nodes	rows	cols	iter	total_min	total_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	mpi_comm_min	mpi_comm_max	H2D_min	H2D_max	D2H_min	D2H_max	kernel_gpu_min	kernel_gpu_max	overhead
1	10K	1000	2	0.428856198	0.429878774	0.071854032	0.072865489	9.3272E-07	0.308090079	0.021490596	0.026427778	0.017769283	0.021539215	0.006141431	0.006301018	0.002756399	0.0095965	0.082497321	0.085058187	0.000956213
2	20K	1000	2	0.840394214	0.848306922	0.064409352	0.072900501	8.22823E-07	0.687589848	0.023639309	0.02667722	0.04184536	0.050446629	0.00567711	0.006465163	0.006869585	0.009036603	0.075028806	0.085311729	0.010692724
4	40K	1000	2	1.606085381	1.618914949	0.069651495	0.072860065	7.6741E-07	1.408519859	0.023133885	0.027896258	0.068298115	0.093760634	0.005500681	0.006463274	0.005058267	0.009187626	0.082043249	0.085175722	0.015878133
8	80K	1000	2	3.206490068	3.218578161	0.07196064	0.073668124	8.54023E-07	2.882600286	0.02523031	0.028641927	0.159239827	0.222969978	0.005840361	0.006544613	0.006409995	0.009947537	0.084697529	0.085668862	0.010697845
16	160K	1000	2	6.764603739	6.770752022	0.072077846	0.073279128	7.52043E-07	6.276278635	0.025215717	0.028363825	0.263547004	0.384045415	0.005742157	0.006850435	0.006179048	0.009704317	0.084581274	0.085892947	0.008785019
