nodes	rows	cols	iter	total_min	total_max	mpi_comm_min	mpi_comm_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	h2d_min	h2d_max	d2h_min	d2h_max	qr_cpu_min	qr_cpu_max	qr_gpu_min	qr_gpu_max	mm_cpu_min	mm_cpu_max	mm_gpu_min	mm_gpu_max
1	10K	100	2	0.070347865	0.070347865	0.000419825	0.000419825	0.044408855	0.044408855	0.012920055	0.012920055	0.009342106	0.009342106	0.006159225	0.006159225	0.00449085	0.00449085	0	0	0.013039691	0.013039691	0	0	0.002624761	0.002624761
2	20K	100	2	0.046426861	0.04900033	0.001153635	0.006618433	0.030156019	0.031486501	0.000512184	0.002224332	0.008215364	0.008507041	0.003693611	0.004367757	0.002579193	0.002925099	0	0	0.007911851	0.010093574	0	0	0.001080779	0.002566469
4	40K	100	2	0.04466115	0.045609769	0.000847599	0.018790377	0.017722341	0.028601856	0.00050765	0.002416864	0.006526189	0.009953223	0.002847766	0.00450621	0.001764508	0.003149065	0	0	0.009963828	0.01534574	0	0	0.001038658	0.001529271
8	80K	100	2	0.047978619	0.054861281	0.005028394	0.021699523	0.02041225	0.032236375	0.000509982	0.003851874	0.006577577	0.008797525	0.003025476	0.004670264	0.002179769	0.002613604	0	0	0.009999199	0.015182281	0	0	0.001037658	0.001477617
16	160K	100	2	0.048978752	0.052562293	0.001948759	0.021746234	0.01981767	0.027425309	0.000495655	0.006092312	0.006389893	0.010573716	0.002825265	0.004980425	0.001744154	0.006711572	0	0	0.009960887	0.014434541	0	0	0.001034582	0.001879412
