nodes	rows	cols	iter	total_min	total_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	mpi_comm_min	mpi_comm_max	h2d_min	h2d_max	d2h_min	d2h_max	kernel_gpu_min	kernel_gpu_max	overhead
2	1600K	1000	2	7.821421311004	8.465794776101	4.596700892784	4.669541622978	0.000728575047	0.736966240918	2.37084864499	2.407342560822	0.049157001078	0.056299109012	0.534817029955	0.549539461033	0.538004500326	0.615361703793	5.174524082104	5.364001197973	0.595645242370999
4	1600K	1000	2	5.154592067935	5.402701240964	2.286137257935	2.350172284059	0.000596005004	1.488347974839	1.168914176989	1.21933334088	0.0760652069	0.091117357137	0.242968559964	0.329927626997	0.266549332067	0.364633603953	2.574430201902	2.645356010646	0.253730284049001
8	1600K	1000	2	5.067860767944	5.246237413958	1.198713456048	1.231872576056	0.000526373973	2.981202438939	0.598099306924	0.638055820018	0.171487029875	0.231147455284	0.126942964038	0.16379422904	0.135385940317	0.174458388938	1.37666923413	1.396248667035	0.163959123661001
16	1600K	1000	2	7.586732811993	7.676131533924	0.60022416804	0.637316274922	0.000512856059	6.257012412883	0.312440704089	0.339993115049	0.270156856859	0.369349582121	0.064572913107	0.082653213991	0.07485123002	0.095523986965	0.691521432018	0.707585804863	0.072460148948999

