nodes	rows	cols	iter	total_min	total_max	mpi_comm_min	mpi_comm_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	h2d_min	h2d_max	d2h_min	d2h_max	qr_cpu_min	qr_cpu_max	qr_gpu_min	qr_gpu_max	mm_cpu_min	mm_cpu_max	mm_gpu_min	mm_gpu_max	overhead
2	1600K	1000	2	13.9191777	13.95498568	0.022498849	0.025660521	8.800847283	9.022068698	0.000628587	0.232978843	4.515769418	4.61624393	0.884524608	0.958985547	1.148584341	1.168576419	0	0	7.837006122	8.126504102	0	0	2.231291979	2.271427874	0.058033688
4	1600K	1000	2	13.48596839	13.50799202	0.025887956	0.028066226	8.559437416	8.780432178	0.000682262	0.247251839	4.349424116	4.420168973	0.620418362	0.693273226	1.006295104	1.032629706	0	0	7.93181591	8.154000336	0	0	2.230293313	2.258222975	0.032072808
8	1600K	1000	2	7.159704379	7.412380943	0.047834533	0.058776641	4.257782993	4.373293852	0.000543928	0.531959502	2.175462929	2.278516971	0.311319742	0.347077878	0.505976393	0.573444183	0	0	3.927365835	4.040077175	0	0	1.108819501	1.126669054	0.169833977
16	1600K	1000	2	4.516968415	4.526973513	0.072424177	0.099266106	2.150681689	2.211869066	0.000599106	1.045106292	1.08891049	1.160309975	0.157191802	0.181580783	0.253851537	0.298385532	0	0	1.980056167	2.035266284	0	0	0.550491326	0.581114709	0.010422073
