nodes	rows	cols	iter	total_min	total_max	mpi_comm_min	mpi_comm_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	h2d_min	h2d_max	d2h_min	d2h_max	qr_cpu_min	qr_cpu_max	qr_gpu_min	qr_gpu_max	mm_cpu_min	mm_cpu_max	mm_gpu_min	mm_gpu_max	overhead
1	10K	100	2	0.080500089	0.080500089	0.000494493	0.000494493	0.045615296	0.045615296	0.022303626	0.022303626	0.008583957	0.008583957	0.005960231	0.005960231	0.00352632	0.00352632	0	0	0.011193153	0.011193153	0	0	0.002973517	0.002973517	0.003502717
2	20K	100	2	0.048849421	0.049481122	0.00119186	0.001204119	0.029023254	0.035544412	0.000511192	0.002516507	0.006472682	0.007035956	0.002619228	0.003232799	0.00217896	0.002458422	0	0	0.007663863	0.010742354	0	0	0.000633936	0.000635436	0.003180128
4	40K	100	2	0.04268974	0.043765826	0.00070671	0.00080232	0.021689972	0.025121772	0.000507088	0.002583442	0.006195082	0.012274113	0.002829029	0.00650888	0.001736062	0.002641124	0	0	0.010478141	0.013044003	0	0	0.001472933	0.002820529	0.002984178
8	80K	100	2	0.046558673	0.047348453	0.001387506	0.001540975	0.020414231	0.027030322	0.000508902	0.003747353	0.00680207	0.011327194	0.002883002	0.005155877	0.00172464	0.006970435	0	0	0.009966545	0.013690079	0	0	0.001049283	0.002004685	0.003702609
16	160K	100	2	0.056515271	0.058094508	0.001922069	0.002202185	0.020435395	0.035572151	0.000481186	0.005752625	0.006545423	0.011152148	0.003712938	0.005297198	0.00176564	0.00702633	0	0	0.009967147	0.023143562	0	0	0.001043202	0.001729549	0.003415399
