nodes	rows	cols	iter	total_min	total_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	mpi_comm_min	mpi_comm_max	h2d_min	h2d_max	d2h_min	d2h_max	kernel_gpu_min	kernel_gpu_max	overhead
2	1600K	100	2	0.334604742005	0.337533843005	0.176929417066	0.18021485582	0.000620431965	0.004039970925	0.139918141067	0.143502706895	0.001450433861	0.001479462953	0.059433813905	0.061762824887	0.05607765005	0.063166701933	0.133302117931	0.133843885036	0.008296846412
4	1600K	100	2	0.191917663906	0.196967214113	0.096206204034	0.103407455143	0.000524289208	0.00637596217	0.068565180991	0.076612620149	0.001102762762	0.001275267918	0.0274596659	0.030534300953	0.027402311331	0.031681693159	0.075753479963	0.08232698217	0.009295908733
8	1600K	100	2	0.129174899077	0.145364854019	0.056743399007	0.060995976906	0.000533917919	0.012264274061	0.038141970988	0.051947066095	0.002305624774	0.002770429943	0.014669898199	0.018168788403	0.01396842883	0.02197073726	0.045581415062	0.04826604994	0.017387107014
16	1600K	100	2	0.088063898031	0.094264703104	0.034199625021	0.038671961054	0.000516989036	0.022496171063	0.015885401983	0.022047773004	0.00347824581	0.004340003012	0.00766432099	0.012355902931	0.0025042661	0.005716278218	0.026977722067	0.030989041086	0.006708794971

