nodes	rows	cols	iter	total_min	total_max	mpi_comm_min	mpi_comm_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	h2d_min	h2d_max	d2h_min	d2h_max	qr_cpu_min	qr_cpu_max	qr_gpu_min	qr_gpu_max	mm_cpu_min	mm_cpu_max	mm_gpu_min	mm_gpu_max
1	1K	100	2	0.065709273	0.065709273	0.000300863	0.000300863	0.055672451	0.055672451	0.002757249	0.002757249	0.00406295	0.00406295	0.001854727	0.001854727	0.001512712	0.001512712	0	0	0.004245165	0.004245165	0	0	0.000605718	0.000605718
2	2K	100	2	0.033946522	0.034694847	0.002891735	0.003666905	0.022960218	0.025204377	0.000532867	0.002571935	0.002683324	0.002718585	0.001020403	0.001200241	0.000639477	0.001154073	0	0	0.002889263	0.004709016	0	0	0.000382741	0.000409197
4	4K	100	2	0.023670373	0.024610502	0.000967437	0.010483454	0.009373166	0.013858576	0.000502589	0.002952076	0.0017127	0.003493146	0.00049958	0.000622615	0.000507175	0.001223367	0	0	0.004581608	0.006438595	0	0	0.000192174	0.000570819
8	8K	100	2	0.023455057	0.025584406	0.004725763	0.00932187	0.009124102	0.014392053	0.000479119	0.003475345	0.001718397	0.004517579	0.000482398	0.001868117	0.000501695	0.000880563	0	0	0.002717224	0.007389044	0	0	0.000194754	0.001771265
16	16K	100	2	0.029821067	0.03197101	0.001848943	0.016889116	0.008623993	0.016249197	0.000432187	0.006326711	0.001665111	0.003355463	0.000440882	0.000811466	0.000503461	0.00066832	0	0	0.002323495	0.008359051	0	0	0.000188661	0.000745499
