NROWS	NCOLS	H2D_BW(GB/sec)	MM_FLOPS(GFlops/sec)	D2H_BW(GB/sec)
1K	100	4.196796453	111.8104525	3.929848582
10K	100	5.487634793	197.4279426	7.271014177
100K	100	4.59351686	222.5992154	2.885412714
1000K	100	4.691303903	273.1696845	2.5266337
