nodes	rows	cols	iter	total_min	total_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	mpi_comm_min	mpi_comm_max	H2D_min	H2D_max	D2H_min	D2H_max	kernel_gpu_min	kernel_gpu_max	overhead
1	100K	100	2	0.073035697918	0.073035697918	0.036571937148	0.036571937148	0.004696090007	0.004696090007	0.026691776933	0.026691776933	0.000825109892	0.000825109892	0.010914040031	0.010914040031	0.008315550163	0.008315550163	0.03043138911	0.03043138911	0.004250783938
2	200K	100	2	0.071114875143	0.089289024007	0.035364724929	0.036315582925	0.000626482069	0.005163430003	0.021704542916	0.023991461145	0.001838657074	0.001890040934	0.008689376991	0.009406013181	0.004671601113	0.008711595787	0.028186264913	0.029374488862	0.021928509
4	400K	100	2	0.070831621997	0.092688712059	0.034057101933	0.036202365067	0.000570949866	0.006674133008	0.016255148221	0.022529785987	0.001195560908	0.001376564847	0.008246120997	0.009948092047	0.003756694263	0.008699796163	0.02706931415	0.028227915057	0.02590586315
8	800K	100	2	0.073913814034	0.093408802059	0.031558893155	0.037298626965	0.000526742078	0.008217150113	0.015840718057	0.022778671933	0.002483724151	0.00285840896	0.00871635275	0.010522968834	0.002675116295	0.008582205279	0.027078075102	0.031460650033	0.022255944088
16	1600K	100	2	0.146257815883	0.163025323069	0.031977272127	0.090631463099	0.000472038984	0.017846376868	0.015313280048	0.030543776928	0.003499521874	0.004216261907	0.007935237605	0.059815979097	0.00319930003	0.014597688103	0.026675686939	0.035671083955	0.019787444267

