NROWS	NCOLS	H2D_BW(GB/sec)	QR_FLOPS(GFlops/sec)	D2H_BW(GB/sec)
1K	10	1.16763641	0.744246866	0.391962859
10K	10	3.785399538	3.101673249	2.342655286
100K	10	4.936036015	11.59018498	4.802724937
1000K	10	4.512851409	15.9612644	2.80217002
