nodes	rows	cols	iter	total_min	total_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	mpi_comm_min	mpi_comm_max	H2D_min	H2D_max	D2H_min	D2H_max	kernel_gpu_min	kernel_gpu_max	overhead
2	1600K	1000	2	7.490483446	7.572541734	4.285569561	4.322018389	8.88947E-07	1.466725124	1.622722239	1.644225923	0.039188781	0.048074394	0.345335676	0.354052374	0.505580698	0.523645209	5.044161479	5.095351139	0.091497905
4	1600K	1000	2	6.398416693	6.48904507	2.15061422	2.199705266	7.95815E-07	3.24962724	0.834932663	0.863150359	0.063822537	0.096287684	0.174122153	0.187120103	0.253958276	0.264814603	2.562877306	2.619095936	0.080274521
8	1600K	1000	2	8.289748908	8.33984982	1.110580634	1.135686594	8.57748E-07	6.493348376	0.427131307	0.454252582	0.149777667	0.21555775	0.087934007	0.094908007	0.128568132	0.135539018	1.321670672	1.362526218	0.041004518
16	1600K	1000	2	16.91818872	17.00917123	0.566470154	0.585422209	7.71834E-07	15.71107133	0.229230309	0.252023694	0.26218617	0.382293317	0.047399049	0.06500221	0.064800111	0.070291181	0.682073607	0.705192368	0.078360675
