NROWS	NCOLS	H2D_BW(GB/sec)	MM_FLOPS(GFlops/sec)	D2H_BW(GB/sec)
1K	1000	6.354963971	259.0432225	8.789582377
10K	1000	5.012455719	298.9124898	2.508949842
100K	1000	4.629168133	363.5892238	2.963646812
1000K	1000	4.686203889	361.7419664	2.568651924
