Rows	Cols	blok_size	tasks	total	qr1	qr2	mm	h2d_min	h2d_max	d2h_min	d2h_max	qr_cpu_min	qr_cpu_max	qr_gpu_min	qr_gpu_max	mm_cpu_min	mm_cpu_max	mm_gpu_min	mm_gpu_max
1K	100	125	8	0.122550644	0.105127033	0.006013579	0.0086469	0.005778921	0.005778921	0.005599128	0.005599128	0	0	0.012193775	0.012193775	0	0	0.002285135	0.002285135
10K	100	1250	8	0.123948998	0.071379206	0.036954464	0.011921028	0.007780482	0.007780482	0.008070652	0.008070652	0	0	0.013158644	0.013158644	0	0	0.003042141	0.003042141
100K	100	12500	8	0.168427787	0.103886949	0.021264101	0.038410633	0.029991981	0.029991981	0.022725719	0.022725719	0	0	0.058773665	0.058773665	0	0	0.013527976	0.013527976
1000K	100	125000	8	0.685047684	0.45715249	0.007195332	0.212180881	0.118347676	0.118347676	0.304877781	0.304877781	0	0	0.208073686	0.208073686	0	0	0.074865671	0.074865671
