nodes	rows	cols	iter	total_min	total_max	qr1_min	qr1_max	qr2_min	qr2_max	mm_min	mm_max	mpi_comm_min	mpi_comm_max	H2D_min	H2D_max	D2H_min	D2H_max	kernel_gpu_min	kernel_gpu_max
1	100K	1000	2	1.495261639	1.50515969	0.569737875	0.583788721	7.85105E-07	0.683168135	0.204749478	0.209977482	0.032263197	0.727919392	0.045482725	0.049009923	0.065277125	0.066689113	0.662859715	0.677984534
2	200K	1000	2	2.398484724	2.421676569	0.5694177	0.581127719	8.46107E-07	1.556864877	0.206824561	0.209855589	0.068443634	1.634156007	0.0442354	0.04613732	0.065093684	0.06781814	0.662986739	0.679475638
4	400K	1000	2	4.158160663	4.194626793	0.570142879	0.582583852	8.40984E-07	3.261242093	0.226558677	0.237643028	0.10818682	3.388506493	0.044895186	0.049478222	0.065869945	0.071459156	0.687762361	0.704645306
8	800K	1000	2	7.536966497	7.570312248	0.565966592	0.581843189	7.4273E-07	6.515549782	0.222518619	0.23636613	0.235077317	6.76596376	0.042920261	0.046962494	0.06505251	0.069015429	0.68503069	0.701742734
16	1600K	1000	2	17.26299672	17.31226018	0.565619235	0.582463975	7.79983E-07	16.0729241	0.229623102	0.249028933	0.404458667	16.49621209	0.04732153	0.060627221	0.06519156	0.07348642	0.684275105	0.705177357
